Year,NOC,Bronze,Gold,No medal,Silver,Total
1896,GRE,20,10,100,18,48
1896,GER,2,25,62,5,32
1896,USA,2,11,7,7,20
1896,FRA,2,5,15,4,11
1896,GBR,3,3,16,3,9
1896,DEN,3,1,9,2,6
1896,HUN,3,2,12,1,6
1896,AUT,2,2,3,1,5
1896,AUS,1,2,2,0,3
1896,SUI,0,1,5,2,3
1900,FRA,82,52,836,101,235
1900,GBR,15,59,38,34,108
1900,USA,17,30,72,16,63
1900,GER,11,14,58,20,45
1900,BEL,13,6,57,24,43
1900,NED,16,3,46,8,27
1900,SUI,1,16,31,4,21
1900,DEN,2,4,27,3,9
1900,NOR,3,0,20,6,9
1900,AUS,3,3,0,0,6
1904,USA,125,128,715,141,394
1904,CAN,12,27,13,9,48
1904,GER,7,4,39,5,16
1904,CUB,0,5,1,0,5
1904,AUS,1,0,2,3,4
1904,AUT,1,2,3,1,4
1904,HUN,1,2,5,1,4
1904,SUI,2,1,4,0,3
1904,FRA,0,0,0,2,2
1904,GBR,0,1,4,1,2
1906,GRE,30,24,382,48,102
1906,FRA,28,20,110,16,64
1906,ITA,27,21,47,8,56
1906,GBR,8,9,74,22,39
1906,DEN,1,14,34,19,34
1906,GER,6,14,127,10,30
1906,NOR,0,20,30,5,25
1906,USA,6,12,57,6,24
1906,SWE,14,2,74,5,21
1906,HUN,3,5,86,5,13
1908,GBR,90,147,604,131,368
1908,SWE,18,48,192,18,84
1908,USA,15,34,154,16,65
1908,CAN,30,14,96,8,52
1908,NOR,3,7,61,32,42
1908,FRA,23,12,279,5,40
1908,BEL,8,1,66,24,33
1908,FIN,28,1,64,1,30
1908,GER,6,4,127,11,21
1908,HUN,6,7,87,7,20
1912,SWE,25,103,524,62,190
1912,GBR,59,47,291,64,170
1912,USA,36,46,257,25,107
1912,DEN,33,5,146,49,87
1912,NOR,34,40,183,6,80
1912,FIN,22,9,162,40,71
1912,GER,23,11,259,19,53
1912,HUN,3,10,177,17,30
1912,FRA,5,10,206,11,26
1912,NED,26,0,19,0,26
1920,USA,38,111,279,45,194
1920,BEL,66,57,330,65,188
1920,SWE,64,52,250,38,154
1920,FRA,57,13,311,71,141
1920,NOR,27,58,130,52,137
1920,GBR,17,52,234,42,111
1920,ITA,8,67,207,9,84
1920,DEN,1,26,175,44,71
1920,FIN,17,21,84,14,52
1920,NED,25,15,163,10,50
1924,USA,49,97,277,36,182
1924,FRA,22,37,526,51,110
1924,SWE,43,7,184,22,72
1924,GBR,19,15,364,30,64
1924,SUI,21,14,202,25,60
1924,FIN,15,24,201,13,52
1924,ITA,21,25,282,5,51
1924,BEL,6,3,195,30,39
1924,NED,18,8,219,1,27
1924,HUN,8,2,118,12,22
1928,USA,17,47,338,24,88
1928,GER,41,21,322,15,77
1928,ITA,26,24,201,22,72
1928,GBR,24,7,296,27,58
1928,NED,8,20,327,29,57
1928,FRA,14,12,372,24,50
1928,SWE,22,7,102,8,37
1928,CAN,21,7,80,5,33
1928,SUI,4,16,206,10,30
1928,ARG,5,3,72,18,26
1932,USA,61,81,554,47,189
1932,ITA,18,21,77,38,77
1932,GER,7,10,159,26,43
1932,FRA,6,26,119,8,40
1932,CAN,24,2,152,13,39
1932,GBR,14,9,135,12,35
1932,HUN,8,20,85,5,33
1932,SWE,12,13,96,7,32
1932,JPN,4,10,172,17,31
1932,FIN,16,5,37,8,29
1936,GER,61,93,357,70,224
1936,USA,16,51,391,29,96
1936,ITA,5,37,273,34,76
1936,AUT,7,6,308,42,55
1936,SUI,24,5,276,23,52
1936,FRA,18,13,259,13,44
1936,HUN,15,25,294,1,41
1936,NED,21,9,190,7,37
1936,GBR,8,12,214,16,36
1936,SWE,17,7,196,11,35
1948,USA,35,87,272,30,152
1948,SWE,30,30,148,15,75
1948,FRA,24,26,361,22,72
1948,ITA,14,21,243,32,67
1948,HUN,22,15,160,25,62
1948,GBR,12,7,529,42,61
1948,DEN,27,7,202,17,51
1948,NED,32,8,145,2,42
1948,SUI,6,5,251,25,36
1948,FIN,8,17,182,8,33
1952,USA,28,83,317,23,134
1952,URS,19,36,334,62,117
1952,HUN,32,53,243,17,102
1952,SWE,23,23,285,24,70
1952,ITA,15,17,322,22,54
1952,FIN,29,8,372,3,40
1952,FRA,17,14,368,9,40
1952,GER,26,0,325,14,40
1952,SUI,12,2,218,19,33
1952,GBR,26,3,370,2,31
1956,URS,55,68,242,46,169
1956,USA,20,61,320,42,123
1956,AUS,26,28,345,13,67
1956,HUN,14,30,133,20,64
1956,GER,23,9,209,20,52
1956,ITA,10,26,160,11,47
1956,GBR,22,8,237,16,46
1956,SWE,6,14,152,14,34
1956,FRA,13,7,194,13,33
1956,FIN,22,3,121,1,26
1960,URS,45,61,245,63,169
1960,USA,21,81,303,23,125
1960,GER,22,34,336,33,89
1960,ITA,34,36,314,18,88
1960,HUN,37,13,246,16,66
1960,AUS,11,11,234,24,46
1960,JPN,12,9,247,10,31
1960,POL,15,4,277,11,30
1960,GBR,15,2,361,11,28
1960,DEN,4,2,86,17,23
1964,URS,51,60,289,63,174
1964,USA,37,95,323,37,169
1964,GER,50,22,362,44,116
1964,JPN,25,32,394,5,62
1964,HUN,7,42,263,7,56
1964,TCH,12,5,133,37,54
1964,ITA,9,14,205,28,51
1964,POL,23,10,194,13,46
1964,AUS,30,8,348,6,44
1964,FRA,17,1,183,13,31
1968,URS,64,65,279,63,192
1968,USA,35,99,363,32,166
1968,HUN,29,32,222,20,81
1968,JPN,22,16,226,25,63
1968,GDR,19,13,294,20,52
1968,AUS,11,5,173,35,51
1968,FRG,18,17,381,16,51
1968,POL,30,5,259,2,37
1968,ITA,20,5,235,8,33
1968,TCH,15,7,174,7,29
1972,URS,60,107,317,47,214
1972,USA,43,69,407,59,171
1972,GDR,57,30,303,64,151
1972,FRG,39,44,485,19,102
1972,HUN,25,10,286,46,81
1972,JPN,8,29,237,19,56
1972,POL,11,27,372,8,46
1972,ROU,27,3,218,10,40
1972,GBR,12,8,404,9,29
1972,TCH,6,2,245,21,29
1976,URS,77,114,288,95,286
1976,GDR,42,102,212,51,195
1976,USA,36,70,390,58,164
1976,FRG,32,21,374,25,78
1976,POL,26,18,213,29,73
1976,HUN,35,14,233,6,55
1976,ROU,23,4,200,28,55
1976,JPN,10,25,287,6,41
1976,BUL,18,8,215,13,39
1976,GBR,11,6,321,15,32
1980,URS,126,187,218,129,442
1980,GDR,61,115,231,88,264
1980,BUL,38,8,307,44,90
1980,ROU,46,7,271,15,68
1980,HUN,40,8,331,13,61
1980,YUG,17,13,123,27,57
1980,TCH,16,17,266,18,51
1980,POL,22,3,368,25,50
1980,GBR,24,5,281,18,47
1980,ITA,8,8,166,21,37
1984,USA,50,186,341,116,352
1984,FRG,53,30,413,75,158
1984,ROU,35,40,87,31,106
1984,CAN,32,19,485,36,87
1984,YUG,35,47,67,5,87
1984,CHN,37,24,249,13,74
1984,GBR,42,9,438,20,71
1984,FRA,31,20,287,16,67
1984,ITA,28,29,305,6,63
1984,AUS,31,7,285,14,52
1988,URS,99,134,347,67,300
1988,USA,54,87,508,66,207
1988,GDR,48,79,221,54,181
1988,FRG,46,32,401,37,115
1988,KOR,12,28,474,37,77
1988,YUG,21,15,120,27,63
1988,ROU,16,8,114,34,58
1988,GBR,15,22,418,17,54
1988,CHN,30,6,375,16,52
1988,NED,36,3,157,6,45
1992,USA,85,89,510,50,224
1992,EUN,67,92,430,61,220
1992,GER,60,81,455,57,198
1992,CHN,19,18,312,45,82
1992,CUB,14,42,127,13,69
1992,ESP,2,48,468,19,69
1992,AUS,16,14,333,27,57
1992,FRA,43,9,429,5,57
1992,ROU,14,8,253,31,53
1992,GBR,39,8,462,3,50
1996,USA,52,159,580,48,259
1996,AUS,84,32,418,16,132
1996,GER,47,42,502,35,124
1996,RUS,34,36,437,45,115
1996,CHN,17,19,332,70,106
1996,NED,26,38,217,9,73
1996,ITA,28,19,389,24,71
1996,ESP,22,23,318,21,66
1996,KOR,7,10,351,49,66
1996,BRA,43,5,188,15,63
2000,USA,51,130,522,61,242
2000,RUS,54,66,415,67,187
2000,AUS,54,60,605,69,183
2000,GER,64,31,449,23,118
2000,CHN,17,39,335,23,79
2000,NED,23,27,206,29,79
2000,KOR,35,12,286,26,73
2000,FRA,14,22,404,30,66
2000,CUB,12,18,206,35,65
2000,ITA,29,22,392,14,65
2004,USA,71,117,463,75,263
2004,RUS,95,48,404,46,189
2004,AUS,31,49,444,77,157
2004,GER,63,41,443,45,149
2004,ITA,39,24,370,41,104
2004,CHN,15,52,424,27,94
2004,JPN,52,21,321,20,93
2004,NED,22,4,187,51,77
2004,CUB,22,32,115,8,62
2004,GBR,15,17,303,25,57
2008,USA,80,127,446,110,317
2008,CHN,57,74,546,53,184
2008,AUS,76,31,421,42,149
2008,RUS,53,43,458,46,142
2008,GER,41,42,459,16,99
2008,GBR,25,31,339,25,81
2008,BRA,30,14,260,34,78
2008,KOR,26,41,251,11,78
2008,FRA,28,25,371,24,77
2008,ESP,16,7,285,47,70
2012,USA,46,145,441,57,248
2012,RUS,51,50,409,39,140
2012,GBR,48,48,558,30,126
2012,CHN,29,56,354,40,125
2012,AUS,59,18,400,37,114
2012,GER,22,45,416,27,94
2012,JPN,33,7,315,44,84
2012,FRA,22,30,344,30,82
2012,NED,19,21,153,29,69
2012,ITA,30,16,314,22,68
2016,USA,71,139,455,54,264
2016,GER,67,49,377,43,159
2016,GBR,26,64,333,55,145
2016,RUS,35,52,291,28,115
2016,CHN,37,46,386,30,113
2016,FRA,21,20,416,55,96
2016,AUS,25,23,436,34,82
2016,ITA,24,8,327,40,72
2016,CAN,61,4,336,4,69
2016,JPN,34,17,372,13,64
2020,USA,75,113,558,110,298
2020,ROC,28,41,412,80,149
2020,CHN,33,59,433,49,141
2020,FRA,34,65,397,42,141
2020,GBR,57,41,407,43,141
2020,AUS,67,36,507,28,131
2020,JPN,22,68,656,41,131
2020,CAN,38,36,424,11,85
2020,GER,34,21,516,26,81
2020,ITA,37,22,448,17,76
2024,USA,94,131,533,96,321
2024,FRA,39,53,614,95,187
2024,CHN,40,71,419,57,168
2024,GBR,76,39,377,41,156
2024,AUS,44,33,528,44,121
2024,NED,26,67,331,25,118
2024,GER,38,21,539,49,108
2024,ESP,36,40,443,7,83
2024,ITA,25,31,528,26,82
2024,JPN,24,27,516,31,82
